brand,model,price,type,height,weight,firmness,trial,I_trial,I_firmness,I_weight,I_height
Naturepedic,EOS Classic and EOS Pillow Top,2999.0,Hybrid,13.5,,,90.0,0,1,1,0
Nectar,Nectar Lush,1399.0,Foam,12.0,94.0,5.5,365.0,0,0,0,0
Nest Bedding,Alexander Hybrid Luxury Contour,1599.0,Hybrid,11.5,,5.5,100.0,0,0,1,0
Nest Bedding,Alexander Signature Series Flippable,1299.0,Foam,14.0,80.0,6.5,100.0,0,0,0,0
Nighslee,Nighslee 10-Inch Cool Gel Memory Foam Mattress,405.0,Foam,10.0,66.5,5.5,100.0,0,0,0,0
Nolah,Nolah Signature,1499.0,Foam,12.0,86.0,5.5,120.0,0,0,0,0
Noomi,,875.0,Foam,10.0,80.0,5.0,101.0,0,0,0,0
Novaform,Foam,600.0,Foam,13.0,96.1,,,1,1,0,0
Nuvanna,Nuvanna Mattress,890.0,Foam,10.0,77.0,6.0,90.0,0,0,0,0
OkiOki,OkiEasy,500.0,Hybrid,11.0,96.0,6.0,365.0,0,0,0,0
OkiOki,OkiFirm,500.0,Foam,10.0,64.0,8.0,365.0,0,0,0,0
OkiOki,OkiFlex,500.0,Hybrid,11.0,93.0,7.0,365.0,0,0,0,0
OkiOki,OkiSoft,500.0,Foam,10.0,59.0,5.0,365.0,0,0,0,0
PlushBeds,Luxury Bliss,1399.0,Latex,12.0,,5.5,100.0,0,0,1,0
Polysleep,Polysleep Mattress,650.0,Foam,10.0,62.0,5.5,100.0,0,0,0,0
Puffy,Puffy Lux Mattress,1595.0,Foam,12.0,75.0,6.0,101.0,0,0,0,0
Puffy,Puffy Royal,2695.0,Foam,14.0,80.0,5.5,101.0,0,0,0,0
Qomfort,,549.0,Foam,10.0,68.0,6.0,100.0,0,0,0,0
Real Sleep,Real Sleep,1095.0,Foam,10.0,79.0,6.5,100.0,0,0,0,0
Resort Sleep,,999.0,Foam,10.0,70.0,,,1,1,0,0
Rivet,Rivet Mattress,499.0,Foam,10.0,66.0,6.5,100.0,0,0,0,0
Rubix,Rubix,1249.0,Hybrid,14.5,110.0,,120.0,0,1,0,0
Saatva HD,Saatva HD,2499.0,Innerspring,15.5,135.0,7.0,120.0,0,0,0,0
Sealy,House Brand,330.0,Innerspring,10.0,60.0,,,1,1,0,0
Sealy Optimum,Optimum - Brassword,2125.0,Latex,12.0,104.0,,,1,1,0,0
Sealy Optimum,Optimum - Destiny Gold,875.0,Foam,10.0,58.0,,,1,1,0,0
Sealy Optimum,Optimum - Dreams,1375.0,Latex,10.0,73.0,,,1,1,0,0
Sealy Optimum,Optimum - Elation Gold,1900.0,Foam,13.0,98.0,,,1,1,0,0
Sealy Optimum,Optimum - Meadow Crest,1625.0,Latex,11.0,79.0,,,1,1,0,0
Sealy Optimum,Optimum - Newness,2625.0,Latex,13.0,103.0,,,1,1,0,0
Sealy Optimum,Optimum - Radiance Gold,1100.0,Foam,11.0,76.0,,,1,1,0,0
Sealy Posturepedic,Posturpedic,400.0,Innerspring,11.875,75.0,4.0,,1,0,0,0
Sealy Posturepedic,Posturpedic Hybrid,1000.0,Hybrid,12.5,105.0,4.0,,1,0,0,0
Sealy Posturepedic,Posturpedic Plus,540.0,Innerspring,13.5,80.0,5.0,,1,0,0,0
Serta iComfort,iComfort Blue Series,1099.0,Foam,11.875,95.0,,120.0,0,1,0,0
Serta iComfort,Icomfort hybrid,1074.0,Hybrid,14.0,110.0,,120.0,0,1,0,0
Serta iSeries,Iseries,1300.0,Hybrid,14.75,110.0,4.0,120.0,0,0,0,0
Serta,Caledonian Plush and Molenda Luxe Firm,799.0,Foam,9.5,,,45.0,0,1,1,0
Serta,Perfect sleeper,350.0,Hybrid,12.0,90.0,,45.0,0,1,0,0
Serta,Sertapedic,312.0,Hybrid,8.25,85.0,,120.0,0,1,0,0
Simba,Simba Hybrid Mattress,749.0,Hybrid,9.75,90.0,6.5,100.0,0,0,0,0
Simmons,Beauty Sleep,359.0,Innerspring,11.75,,,,1,1,1,0
Beautyrest Black,Beautyrest Black,2099.0,Innerspring,14.5,,5.5,100.0,0,0,1,0
Beautyrest Black,Beautyrest Recharge World Class,1499.0,Innerspring,14.5,,,100.0,0,1,1,0
Beautyrest Black,Beautyrest Platinum Hybrid,2499.0,Hybrid,15.0,,,100.0,0,1,1,0
Beautyrest Black,Beautyrest Recharge,799.0,Innerspring,13.25,,,100.0,0,1,1,0
Beautyrest Black,Beautyrest Recharge Hybrid,1499.0,Hybrid,13.25,,,100.0,0,1,1,0
Sleep EZ,Luxerion Natural Latex Hybrid,650.0,Latex,9.0,100.0,6.0,90.0,0,0,0,0
Sleep EZ,Roma Latex Matress,695.0,Latex,9.0,120.0,6.0,90.0,0,0,0,0
Sleep Innovations,Marley,324.0,Foam,10.0,72.4,6.5,,1,0,0,0
Sleep Innovations,Shiloh,377.0,Foam,12.0,86.95,5.5,,1,0,0,0
Sleep Innovations,Skylar,550.0,Foam,12.0,74.2,6.5,,1,0,0,0
Sleep Innovations,Taylor,515.0,Foam,12.0,73.2,6.5,,1,0,0,0
Sleep Innovations,Alden,601.0,Foam,14.0,88.9,4.5,,1,0,0,0
Sleep Innovations,Sage,273.0,Foam,8.0,63.5,6.5,,1,0,0,0
Sleep Innovations,Shea,450.0,Foam,10.0,69.0,5.5,,1,0,0,0
Sleep Number,"Classic Series (c2, c4)",999.0,Smart/Other,9.0,57.5,,100.0,0,1,0,0
Sleep Number,"Innovation Series (i8, iLE, i10)",3199.0,Smart/Other,14.0,100.0,,100.0,0,1,0,0
Sleep Number,Sleep Number m7,3099.0,Smart/Other,11.0,90.0,,100.0,0,1,0,0
Sleep Number,"Performance Series (p5, pSE, p6)",2099.0,Smart/Other,11.5,65.0,,100.0,0,1,0,0
Sleep Science,Latex,850.0,Latex,9.5,105.0,,120.0,0,1,0,0
Sleep Science,Memory Foam,400.0,Foam,10.5,87.0,,120.0,0,1,0,0
SleepOvation,SleepOvation Mattress,1749.0,Hybrid,12.0,90.0,6.0,100.0,0,0,0,0
Snuggle-Pedic,Snuggle-Pedic Mattress,999.0,Foam,10.0,71.0,6.0,120.0,0,0,0,0
Sonno,,875.0,Foam,10.0,105.0,,100.0,0,1,0,0
Spoon,Spoon Sleep Mattress,1100.0,Foam,10.0,,6.5,100.0,0,0,1,0
Spring Air,Hybrid,819.0,Hybrid,14.5,,,0.0,0,1,1,0
Spring Air,Latex,1099.0,Latex,14.75,,,0.0,0,1,1,0
Stearns & Foster,Estate,1499.0,Hybrid,14.75,,,,1,1,1,0
Stearns & Foster,Lux Hybrid,2499.0,Hybrid,14.25,,,,1,1,1,0
Stearns & Foster,Reserve,3499.0,Hybrid,16.5,,,,1,1,1,0
Stearns & Foster,Lux Estate,2499.0,Hybrid,15.25,,,,1,1,1,0
Sweet Zzz,Natures Novel Latex Mattress,1399.0,Latex,12.0,95.0,7.0,100.0,0,0,0,0
Tempur-Pedic,TEMPUR-Legacy,2299.0,Foam,10.0,73.0,4.0,90.0,0,0,0,0
Tempur-Pedic,Tempur-Pedic Cloud,3099.0,Foam,12.5,,3.0,90.0,0,0,1,0
Tempur-Pedic,Tempur-Pedic Contour,3099.0,Foam,13.0,,7.0,90.0,0,0,1,0
Tempur-Pedic,Flex,1999.0,Hybrid,11.25,,,90.0,0,1,1,0
Tempur-Pedic,Tempur-Pedic GrandBed,7499.0,Foam,15.0,,4.0,90.0,0,0,1,0
Tempur-Pedic,TEMPUR-Adapt Hybrid,2199.0,Hybrid,11.0,96.0,5.0,90.0,0,0,0,0
Tempur-Pedic,TEMPUR-PRObreeze,3799.0,Foam,12.0,108.9,5.0,90.0,0,0,0,0
Tuft & Needle,T&N Mattress,506.0,Foam,10.0,72.0,6.5,100.0,0,0,0,0
Tulo,Tulo Liv,490.0,Foam,9.0,57.0,5.5,120.0,0,0,0,0
Urban Mattress,Silver Lake,1599.0,Innerspring,12.5,109.0,,100.0,0,1,0,0
Wright,W.127,1795.0,Foam,11.0,85.0,6.0,120.0,0,0,0,0
Yaasa,Yaasa ONE Mattress,899.0,Hybrid,10.0,71.0,6.5,100.0,0,0,0,0
Yogabed,Yogabed Original,849.0,Foam,10.0,80.0,6.5,101.0,0,0,0,0
Yogabed,Unplug Mattress,595.0,Foam,10.0,55.0,5.0,101.0,0,0,0,0
Zinus,"10"" Cooling Hybrid Gel Foam",350.0,Hybrid,10.0,80.7,6.0,100.0,0,0,0,0
Zinus,"10"" Memory Foam",277.0,Foam,10.0,61.6,6.0,100.0,0,0,0,0
Zinus,"12"" Cooling Hybrid Gel Foam",380.0,Hybrid,12.0,91.9,5.0,100.0,0,0,0,0
Zinus,"12"" iCoil",246.0,Innerspring,12.0,89.2,5.0,100.0,0,0,0,0
Zinus,"12"" Memory Foam",307.0,Foam,12.0,71.8,5.0,100.0,0,0,0,0
Zinus,"13"" iCoil",329.0,Innerspring,13.0,93.9,4.0,100.0,0,0,0,0
Zinus,"14"" Memory Foam",399.0,Foam,14.0,75.2,3.0,100.0,0,0,0,0
Zinus,"8"" Memory Foam",228.0,Foam,8.0,48.4,7.0,100.0,0,0,0,0
Zinus,"10"" iCoil",230.0,Innerspring,10.0,81.9,6.0,100.0,0,0,0,0
Zinus,"6"" Memory Foam",145.0,Foam,6.0,28.2,8.0,100.0,0,0,0,0
Zoma,Zoma Sports Mattress,850.0,Foam,11.0,70.0,5.5,100.0,0,0,0,0
Zoned by Brooklyn Bedding,Zoned Mattress,1249.0,Hybrid,13.0,110.0,5.0,120.0,0,0,0,0
Zotto,Zotto Mattress,875.0,Foam,10.0,97.0,6.5,100.0,0,0,0,0
Saatva,Saatva Mattress,1299.0,Innerspring,11.5,120.0,4.0,120.0,0,0,0,0
Saatva,Saatva Mattress,1299.0,Innerspring,14.5,120.0,4.0,120.0,0,0,0,0
Saatva,Saatva Mattress,1299.0,Innerspring,11.5,120.0,6.0,120.0,0,0,0,0
Saatva,Saatva Mattress,1299.0,Innerspring,14.5,120.0,6.0,120.0,0,0,0,0
Saatva,Saatva Mattress,1299.0,Innerspring,11.5,120.0,7.5,120.0,0,0,0,0
Saatva,Saatva Mattress,1299.0,Innerspring,14.5,120.0,7.5,120.0,0,0,0,0
Plushbeds,Botanical Bliss,1499.0,Latex,9.0,121.0,5.5,100.0,0,0,0,0
Plushbeds,Botanical Bliss,1799.0,Latex,10.0,129.0,5.5,100.0,0,0,0,0
Plushbeds,Botanical Bliss,2199.0,Latex,12.0,172.0,5.5,100.0,0,0,0,0
Plushbeds,Botanical Bliss,1499.0,Latex,9.0,121.0,7.5,100.0,0,0,0,0
Plushbeds,Botanical Bliss,1799.0,Latex,10.0,129.0,7.5,100.0,0,0,0,0
Plushbeds,Botanical Bliss,2199.0,Latex,12.0,172.0,7.5,100.0,0,0,0,0
Novosbed,Novosbed,999.0,Foam,11.0,,3.5,120.0,0,0,1,0
Novosbed,Novosbed,999.0,Foam,11.0,103.0,5.0,120.0,0,0,0,0
Novosbed,Novosbed,999.0,Foam,11.0,,6.5,120.0,0,0,1,0
Sleep On Latex,Pure Green Standard,795.0,Latex,9.0,85.0,3.5,100.0,0,0,0,0
Sleep On Latex,Pure Green Standard,795.0,Latex,9.0,125.0,5.5,100.0,0,0,0,0
Sleep On Latex,Pure Green Standard,795.0,Latex,9.0,143.0,7.5,100.0,0,0,0,0
Purple,Hybrid Premier,2699.0,Hybrid,13.0,168.0,4.5,101.0,0,0,0,0
Purple,Hybrid Premier,2199.0,Hybrid,12.0,145.0,5.5,101.0,0,0,0,0
Latex For Less,Latex For Less Mattress,999.0,Latex,9.0,145.0,6.25,120.0,0,0,0,0
Latex For Less,Latex For Less Mattress,899.0,Latex,7.0,100.0,6.25,120.0,0,0,0,0
Avocado Green Mattress,Avocado Green,1399.0,Hybrid,11.0,97.0,7.0,365.0,0,0,0,0
Avocado Green Mattress,Avocado Green,1799.0,Hybrid,13.0,132.0,6.5,365.0,0,0,0,0
Avocado Green Mattress,Avocado Vegan Mattress,1399.0,Hybrid,11.0,97.0,6.5,100.0,0,0,0,0
Avocado Green Mattress,Avocado Vegan Mattress,1799.0,Hybrid,13.0,132.0,5.0,100.0,0,0,0,0
Brentwood Home,Cypress,599.0,Foam,11.0,50.0,7.0,120.0,0,0,0,0
Brentwood Home,Cypress,799.0,Foam,13.0,53.0,5.0,120.0,0,0,0,0
Brentwood Home,Cypress Hybrid,799.0,Hybrid,11.0,90.0,7.0,120.0,0,0,0,0
Brentwood Home,Cypress Hybrid,999.0,Hybrid,13.0,92.0,5.0,120.0,0,0,0,0
Ikea,Haugesund,249.0,Innerspring,9.875,59.5,6.0,365.0,0,0,0,0
Ikea,Haugesund,249.0,Innerspring,9.875,66.125,8.0,365.0,0,0,0,0
Ikea,Haugsvar,399.0,Innerspring,11.0,74.9375,5.5,365.0,0,0,0,0
Ikea,Haugsvar,399.0,Innerspring,11.0,72.75,7.5,365.0,0,0,0,0
Ikea,Hesstun,499.0,Innerspring,12.625,103.625,5.0,365.0,0,0,0,0
Ikea,Hesstun,499.0,Innerspring,12.625,116.875,8.0,365.0,0,0,0,0
Ikea,Morgedal,299.0,Foam,7.1,46.3125,6.0,365.0,0,0,0,0
Ikea,Morgedal,299.0,Foam,7.1,46.3125,8.0,365.0,0,0,0,0
Linenspa,8-Inch Memory Foam Hybrid,244.99,Innerspring,8.0,55.0,6.5,30.0,0,0,0,0
Linenspa,10-Inch Memory Foam Hybrid,324.99,Innerspring,10.0,72.0,6.5,30.0,0,0,0,0
Lucid,6″ Gel Memory Foam,169.0,Foam,6.0,28.9,7.5,30.0,0,0,0,0
Lucid,8″ Gel Memory Foam,219.99,Foam,8.0,47.5,6.5,30.0,0,0,0,0
Lucid,10″ Gel Memory Foam,234.99,Foam,10.0,55.0,6.5,30.0,0,0,0,0
Lucid,10″ Plush Memory Foam,229.99,Foam,10.0,60.0,4.5,30.0,0,0,0,0
Lucid,12″ Plush Gel Memory Foam,354.99,Foam,12.0,73.2,4.5,30.0,0,0,0,0
Lucid,14″ Plush Memory Foam,450.0,Foam,14.0,92.0,3.5,30.0,0,0,0,0
Luft,The Luft Bed,1399.0,Hybrid,13.5,125.0,4.0,100.0,0,0,0,0
Luft,The Luft Bed,1399.0,Hybrid,13.5,125.0,6.0,100.0,0,0,0,0
Luft,The Luft Bed,1399.0,Hybrid,13.5,125.0,7.0,100.0,0,0,0,0
Nest Bedding,Natural Hybrid Latex,1599.0,Latex,12.0,100.0,4.0,100.0,0,0,0,0
Nest Bedding,Natural Hybrid Latex,1599.0,Latex,12.0,100.0,5.5,100.0,0,0,0,0
Nest Bedding,Natural Hybrid Latex,1599.0,Latex,12.0,100.0,7.5,100.0,0,0,0,0
PlushBeds,Natural Bliss,1199.0,Latex,6.0,,3.5,100.0,0,0,1,0
PlushBeds,Natural Bliss,1199.0,Latex,6.0,,5.5,100.0,0,0,1,0
PlushBeds,Natural Bliss,1199.0,Latex,6.0,,6.0,100.0,0,0,1,0
PlushBeds,Natural Bliss,1374.0,Latex,6.0,,7.5,100.0,0,0,1,0
PlushBeds,Natural Bliss,1499.0,Latex,8.0,,3.5,100.0,0,0,1,0
PlushBeds,Natural Bliss,1499.0,Latex,8.0,,5.5,100.0,0,0,1,0
PlushBeds,Natural Bliss,1499.0,Latex,8.0,,6.0,100.0,0,0,1,0
PlushBeds,Natural Bliss,1774.0,Latex,8.0,,7.5,100.0,0,0,1,0
PlushBeds,Natural Bliss,1899.0,Latex,10.0,,3.5,100.0,0,0,1,0
PlushBeds,Natural Bliss,1899.0,Latex,10.0,,5.5,100.0,0,0,1,0
PlushBeds,Natural Bliss,1899.0,Latex,10.0,,6.0,100.0,0,0,1,0
Sealy,Sealy Response Essentials,390.11,Innerspring,8.5,41.0,6.5,,1,0,0,0
Sealy,Sealy Response Essentials,423.54,Innerspring,10.0,47.0,6.5,,1,0,0,0
Sealy,Sealy Response Essentials,449.99,Innerspring,11.0,46.0,6.5,,1,0,0,0
Sealy,Sealy Response Essentials,479.0,Innerspring,11.5,56.0,3.5,,1,0,0,0
Sealy,Sealy Response Essentials,595.47,Innerspring,13.0,50.0,3.5,,1,0,0,0
Sealy,Sealy Response Performance,419.99,Innerspring,12.0,39.0,3.5,,1,0,0,0
Sealy,Sealy Response Performance,663.2,Innerspring,12.0,50.0,6.5,,1,0,0,0
Sealy,Sealy Response Performance,539.99,Innerspring,13.0,51.0,3.5,,1,0,0,0
Sealy,Sealy Response Performance,462.55,Innerspring,13.0,51.0,6.5,,1,0,0,0
Sealy,Sealy Response Performance,839.99,Innerspring,14.0,55.0,5.0,,1,0,0,0
Sealy,Sealy Response Performance,636.48,Innerspring,14.0,65.0,3.5,,1,0,0,0
Sealy Posturepedic,Sealy Response Premium,999.0,Innerspring,14.0,77.0,5.0,,1,0,0,0
Sealy Posturepedic,Sealy Response Premium,1002.39,Innerspring,14.0,77.0,3.5,,1,0,0,0
Sealy Posturepedic,Sealy Response Premium,1059.99,Innerspring,16.0,80.0,3.5,,1,0,0,0
Sealy Posturepedic,Sealy Response Premium,941.01,Innerspring,13.0,66.0,5.0,,1,0,0,0
Sealy Posturepedic,Sealy Response Premium,1018.43,Innerspring,16.0,80.0,5.0,,1,0,0,0
Beautyrest Black,Mariela Luxury Firm,2599.0,Innerspring,15.0,114.0,6.0,100.0,0,0,0,0
Tempur-Pedic,TEMPUR-breeze,4499.0,Foam,13.0,108.9,3.0,90.0,0,0,0,0
Tempur-Pedic,TEMPUR-breeze,4499.0,Foam,13.0,110.2,7.0,90.0,0,0,0,0
Voila,Voila Mattress,1199.0,Hybrid,12.0,130.0,4.0,100.0,0,0,0,0
Voila,Voila Mattress,1199.0,Hybrid,11.0,130.0,6.0,100.0,0,0,0,0
Voila,Voila Mattress,1199.0,Hybrid,10.0,130.0,8.0,100.0,0,0,0,0
Yaasa,Yaasa Mattress,1299.0,Hybrid,12.0,,4.0,100.0,0,0,1,0
Yaasa,Yaasa Mattress,1299.0,Hybrid,12.0,,6.5,100.0,0,0,1,0
